Time;Vazao01
01/01/2018;164.09
02/01/2018;181.73
03/01/2018;193.14
04/01/2018;184.68
05/01/2018;211.9
06/01/2018;209.13
07/01/2018;195.95
08/01/2018;163.04
09/01/2018;187.85
10/01/2018;172.01
11/01/2018;182.69
12/01/2018;181.79
13/01/2018;215.96
14/01/2018;195.89
15/01/2018;163.56
16/01/2018;223.71
17/01/2018;194.77
18/01/2018;206.89
19/01/2018;196.95
20/01/2018;206.16
21/01/2018;189.34
22/01/2018;184.38
23/01/2018;209.16
24/01/2018;184.08
25/01/2018;203.34
26/01/2018;201.89
27/01/2018;250.91
28/01/2018;196.76
29/01/2018;196.93
30/01/2018;193.94
31/01/2018;210.47
01/02/2018;213.96
02/02/2018;201.64
03/02/2018;238.81
04/02/2018;216.4
05/02/2018;172.58
06/02/2018;186.43
07/02/2018;212.97
08/02/2018;224.44
09/02/2018;244.37
10/02/2018;264.09
11/02/2018;207.47
12/02/2018;187.26
13/02/2018;183.75
14/02/2018;204.8
15/02/2018;207.96
16/02/2018;199.33
17/02/2018;273.51
18/02/2018;195.05
19/02/2018;152.79
20/02/2018;173.21
21/02/2018;230.42
22/02/2018;194.32
23/02/2018;209.52
24/02/2018;251.76
25/02/2018;239.32
26/02/2018;195.92
27/02/2018;89.53
28/02/2018;251.35
01/03/2018;256.33
02/03/2018;229.35
03/03/2018;267.25
04/03/2018;264.99
05/03/2018;170.31
06/03/2018;233.16
07/03/2018;223.23
08/03/2018;193.33
09/03/2018;229.43
10/03/2018;272.93
11/03/2018;219.39
12/03/2018;200.44
13/03/2018;218.07
14/03/2018;217.65
15/03/2018;190.02
16/03/2018;185.7
17/03/2018;289.99
18/03/2018;227.03
19/03/2018;184.19
20/03/2018;224.86
21/03/2018;197.65
22/03/2018;196.96
23/03/2018;214.83
24/03/2018;263.35
25/03/2018;260.18
26/03/2018;171.01
27/03/2018;180.19
28/03/2018;222.99
29/03/2018;221.74
30/03/2018;266.75
31/03/2018;208.92
01/04/2018;232.93
02/04/2018;217.17
03/04/2018;221.35
04/04/2018;219.68
05/04/2018;239.18
06/04/2018;224.39
07/04/2018;269.54
08/04/2018;250.66
09/04/2018;201.96
10/04/2018;218.72
11/04/2018;231.56
12/04/2018;221.18
13/04/2018;231.92
14/04/2018;268.18
15/04/2018;250.1
16/04/2018;184.3
17/04/2018;201.17
18/04/2018;266.92
19/04/2018;211.33
20/04/2018;233.93
21/04/2018;251.78
22/04/2018;274.5
23/04/2018;216.5
24/04/2018;229.79
25/04/2018;226.45
26/04/2018;245.16
27/04/2018;256.54
28/04/2018;270.64
29/04/2018;272.44
30/04/2018;199.36
01/05/2018;257.22
02/05/2018;224.7
03/05/2018;218
04/05/2018;243.68
05/05/2018;276.33
06/05/2018;281.6
07/05/2018;188.12
08/05/2018;215.83
09/05/2018;214.35
10/05/2018;261.21
11/05/2018;253.28
12/05/2018;278.39
13/05/2018;237.36
14/05/2018;214.96
15/05/2018;237.33
16/05/2018;236.86
17/05/2018;230.09
18/05/2018;231.01
19/05/2018;265.15
20/05/2018;258.44
21/05/2018;191.97
22/05/2018;230.77
23/05/2018;208.62
24/05/2018;210.79
25/05/2018;223.6
26/05/2018;257.11
27/05/2018;218.87
28/05/2018;190.71
29/05/2018;201.67
30/05/2018;204.66
31/05/2018;264.23
01/06/2018;191.73
02/06/2018;226.16
03/06/2018;206.27
04/06/2018;149.35
05/06/2018;216.05
06/06/2018;201.29
07/06/2018;198.52
08/06/2018;195.67
09/06/2018;268.18
10/06/2018;221.37
11/06/2018;185.07
12/06/2018;217.04
13/06/2018;203.61
14/06/2018;220.23
15/06/2018;196.87
16/06/2018;246.96
17/06/2018;199.21
18/06/2018;166.56
19/06/2018;117.57
20/06/2018;275.24
21/06/2018;139.83
22/06/2018;253.91
23/06/2018;264.75
24/06/2018;266.64
25/06/2018;165.65
26/06/2018;220.48
27/06/2018;206.58
28/06/2018;204.24
29/06/2018;219.6
30/06/2018;264.65
01/07/2018;222.73
02/07/2018;201.9
03/07/2018;224.08
04/07/2018;200.29
05/07/2018;157.54
06/07/2018;258.2
07/07/2018;262.05
08/07/2018;247.63
09/07/2018;186.31
10/07/2018;216.24
11/07/2018;210.57
12/07/2018;198
13/07/2018;208.67
14/07/2018;278.5
15/07/2018;218.12
16/07/2018;168.35
17/07/2018;195.53
18/07/2018;219.85
19/07/2018;212.1
20/07/2018;198.74
21/07/2018;233.83
22/07/2018;199.08
23/07/2018;191.54
24/07/2018;204.88
25/07/2018;199.13
26/07/2018;190.85
27/07/2018;206.64
28/07/2018;236.8
29/07/2018;204.64
30/07/2018;203.69
31/07/2018;199.29
01/08/2018;207.58
02/08/2018;183.62
03/08/2018;214.07
04/08/2018;245.19
05/08/2018;235.2
06/08/2018;169.47
07/08/2018;197.32
08/08/2018;209.06
09/08/2018;219.52
10/08/2018;206.21
11/08/2018;258.77
12/08/2018;224.05
13/08/2018;187.05
14/08/2018;218.86
15/08/2018;205.43
16/08/2018;188.26
17/08/2018;199.05
18/08/2018;217.71
19/08/2018;224.44
20/08/2018;202.93
21/08/2018;212.07
22/08/2018;198.33
23/08/2018;210.79
24/08/2018;209.56
25/08/2018;241.76
26/08/2018;229.01
27/08/2018;166.16
28/08/2018;209.03
29/08/2018;192.88
30/08/2018;218.27
31/08/2018;215.77
01/09/2018;211.68
02/09/2018;256.51
03/09/2018;168.35
04/09/2018;197.83
05/09/2018;210.39
06/09/2018;197.92
07/09/2018;256.13
08/09/2018;202.92
09/09/2018;172.07
10/09/2018;183.81
11/09/2018;210
12/09/2018;197.27
13/09/2018;177.61
14/09/2018;207.28
15/09/2018;227.35
16/09/2018;252.66
17/09/2018;176.11
18/09/2018;208.7
19/09/2018;217.74
20/09/2018;198.48
21/09/2018;195.54
22/09/2018;259.15
23/09/2018;232.06
24/09/2018;203.29
25/09/2018;221.27
26/09/2018;210.16
27/09/2018;197.08
28/09/2018;220.92
29/09/2018;251.19
30/09/2018;193.67
01/10/2018;192.58
02/10/2018;206.59
03/10/2018;198.58
04/10/2018;191.07
05/10/2018;201.67
06/10/2018;229.93
07/10/2018;203.97
08/10/2018;191.76
09/10/2018;214
10/10/2018;219.94
11/10/2018;179.44
12/10/2018;269.99
13/10/2018;210.19
14/10/2018;199.63
15/10/2018;167.58
16/10/2018;163.36
17/10/2018;231.99
18/10/2018;233.44
19/10/2018;223.52
20/10/2018;214.71
21/10/2018;225.46
22/10/2018;186.72
23/10/2018;210.42
24/10/2018;81.94
25/10/2018;241.8
26/10/2018;222.7
27/10/2018;259.33
28/10/2018;228.28
29/10/2018;209.45
30/10/2018;214.95
31/10/2018;206.22
01/11/2018;197.35
02/11/2018;257.37
03/11/2018;209.19
04/11/2018;209.6
05/11/2018;171.43
06/11/2018;190.44
07/11/2018;209.86
08/11/2018;202
09/11/2018;193.44
10/11/2018;237.64
11/11/2018;234.2
12/11/2018;177.06
13/11/2018;223.65
14/11/2018;218.38
15/11/2018;241.18
16/11/2018;202.19
17/11/2018;221.09
18/11/2018;228.54
19/11/2018;171.89
20/11/2018;218.01
21/11/2018;220.64
22/11/2018;211.57
23/11/2018;202.38
24/11/2018;214.81
25/11/2018;267.69
26/11/2018;167.28
27/11/2018;204.14
28/11/2018;212.56
29/11/2018;216.91
30/11/2018;215.06
01/12/2018;220.57
02/12/2018;249.08
03/12/2018;154.27
04/12/2018;217.14
05/12/2018;209.79
06/12/2018;224.72
07/12/2018;202.58
08/12/2018;260.67
09/12/2018;204.93
10/12/2018;201.74
11/12/2018;213.61
12/12/2018;223.76
13/12/2018;258.46
14/12/2018;194.39
15/12/2018;259.91
16/12/2018;268.55
17/12/2018;191.99
18/12/2018;214.73
19/12/2018;220.38
20/12/2018;240.32
21/12/2018;220.58
22/12/2018;238.9
23/12/2018;248.22
24/12/2018;191.32
25/12/2018;239.9
26/12/2018;175
27/12/2018;228.94
28/12/2018;212.76
29/12/2018;234.84
30/12/2018;223.95
31/12/2018;189.42
01/01/2019;218.48
02/01/2019;178.69
03/01/2019;224.57
04/01/2019;208.12
05/01/2019;221.18
06/01/2019;195.22
07/01/2019;190.54
08/01/2019;235.98
09/01/2019;228.47
10/01/2019;213.2
11/01/2019;234.57
12/01/2019;261.16
13/01/2019;255.74
14/01/2019;177.17
15/01/2019;210.18
16/01/2019;216.19
17/01/2019;221.14
18/01/2019;222.45
19/01/2019;206.86
20/01/2019;254.48
21/01/2019;165.48
22/01/2019;149.9
23/01/2019;222.9
24/01/2019;250.42
25/01/2019;201.55
